claimType,coverage,country,deviceType,make,model,rrp,excessFee,channel,policyStatus,issueDesc,decline_reason,status,turnOnOff,touchScreen,frontCamera,backCamera,audio,mic,synthetic_id,scenario_type,borderline_factors,edge_case_type,expected_outcome
Liquid Damage,ADLD,NL,SMARTPHONES,WUAWEI,WUAWEI-SYN-5,8500,150,Email,Active,"Geachte verzekeraars, ik dien hierbij een schadeclaim in voor mijn WUAWEI-SYN-5 smartphone. Het apparaat raakte beschadigd door vloeistofschade afgelopen dinsdag. Ik bevond me in een café en zette mijn telefoon op tafel. Een persoon naast mij stootte per ongeluk een glas water om, dat over mijn toestel liep. Ik droogde het apparaat onmiddellijk af met servetten. Het functioneerde nog enkele minuten normaal, maar de volgende ochtend wilde het niet meer aanzetten. De batterij lijkt niet op te laden en het scherm reageert niet. Ik ben ervan overtuigd dat dit een directe gevolg is van het waterincident. Dit is mijn eerste claim en ik hoop op uw hulp. Het apparaat is slechts 18 maanden oud en het gebeurde geheel onverwacht.",,Borderline,False,False,True,True,False,False,SYN-BOR-0005,borderline,"['SUPPORTING: Policy is active and in good standing', 'SUPPORTING: Liquid damage is covered under ADLD', 'SUPPORTING: Claimant provides specific date and location', 'SUPPORTING: Device is relatively new (18 months old)', 'SUPPORTING: First claim suggests good history', 'CONCERNING: 24+ hour delay before reporting to insurer (incident Tuesday, claim submitted later)', 'CONCERNING: No photographic evidence provided with claim', 'CONCERNING: Claimant attempted DIY drying (potential mitigation issue)', 'CONCERNING: No independent witness mentioned or statement', 'CONCERNING: Vague about exact time gap between incident and device failure', 'CONCERNING: Email submission lacks formal claim documentation', 'CONCERNING: No receipt or proof of purchase attached', 'CONCERNING: Unclear if device shows visible liquid indicators or corrosion marks']",,
Liquid Damage,ADLD,NL,SMARTPHONE,WUAWEI,WUAWEI-SYN-2,1200,150,Online Portal,Active,"Claimant reports that op 15 maart de WUAWEI smartphone onbedoeld in contact kwam met water tijdens het ontbijt. Volgens verklaring viel het apparaat uit de broekzak in een glas water op de keukentafel. Het device werd onmiddellijk uit het water gehaald en met een doek afgedroogd. Claimant wacht 2 dagen alvorens het apparaat in te schakelen, op welk moment het niet meer functioneerde. De claim werd echter pas op 22 maart ingediend (7 dagen later) via de online portal. Bij indiening vermeldt claimant dat het toestel ""waarschijnlijk"" waterschade heeft, maar geeft geen foto's of andere bewijsstukken mee. Echter, tijdens vervolgcommunicatie stuurt claimant wel een foto van een licht beschadigde screenprotector. De polis was actief en dekt accidentele schade. Claimant geeft toe dat er geen verzekering voor vloeibare schade was overwogen bij aankoop.",,Borderline,False,False,False,False,False,False,SYN-BOR-0002,borderline,"{'in_favor_of_approval': ['Policy is actively maintained and in force', 'Liquid damage occurred through genuine accident (device fell into water)', ""Claimant's response was reasonable (immediate drying, waiting period before powering on)"", 'ADLD coverage should technically cover accidental liquid exposure', 'Supporting photo evidence was eventually provided'], 'against_approval': ['Significant delay in claim submission (7 days) raises questions about causation', 'No initial documentation or photos submitted with claim', ""Vague claim language ('waarschijnlijk' waterschade) suggests uncertainty"", 'No professional inspection or technical diagnosis obtained before claiming', 'Claimant admits not selecting liquid damage coverage intentionally', 'Photo evidence (screenprotector) is circumstantial, not definitive proof of liquid damage', 'Device failure could potentially be unrelated to the water incident given the time gap']}",,
Liquid Damage,ADLD,NL,LAPTOP,WUAWEI,WUAWEI-SYN-6,8500,350,Online Portal,Active,"Claimant reports that their WUAWEI-SYN-6 laptop was damaged by liquid spillage on March 15th while working at home office. States that a glass of water was knocked over during a video call, spilling directly onto the keyboard and trackpad area. Device was immediately powered off. However, claim was not reported until March 28th—13 days later. In the incident description, claimant mentions 'it seemed to be working fine initially' but later states 'the screen went black after two days.' Timeline is somewhat unclear regarding when malfunction actually occurred. Claimant provides no photographic evidence of the liquid damage or wet components. Device has not been examined by authorized service center yet. Policy has been active for 18 months with no previous claims. Claimant's account shows regular premium payments with no lapses.",,Borderline,False,False,False,False,False,False,SYN-BOR-0006,borderline,"{'support_approval': ['Policy is active and in good standing with consistent payment history', 'Liquid damage is covered under ADLD policy', 'Incident description is detailed and specific (water, keyboard impact zone identified)', 'Delay in reporting could be explained by attempt to dry device or assess damage', 'No prior claims history suggests genuine customer', 'Reasonable timeframe between incident (March 15) and claim filing (March 28)'], 'against_approval': ['13-day delay between incident and claim report is unusually long for urgent damage', 'No photographic evidence of liquid damage or wet components provided', ""Timeline inconsistency: 'seemed fine initially' vs 'screen went black after two days' suggests unclear damage progression"", 'Device has not been professionally inspected to verify liquid damage cause', 'Vague on immediate response actions (no mention of professional drying, diagnostics attempted)', 'No corroborating evidence (photos, receipts for repair attempts, witness statements)']}",,
Liquid Damage,ADLD,SE,SMARTPHONES,WUAWEI,WUAWEI-SYN-4,8900,150,Online Portal,Active,"Jag var på väg hem från jobbet förra veckan när det började regna kraftigt. Jag hade min WUAWEI-SYN-4 i jackfickan och glömde att den var där. När jag kom hem märkte jag att mobilen var blöt och svarade inte längre. Jag försökte torka av den med en handduk och lät den lufttorka i några timmar, men den ville inte starta igen. Skärmen är helt svart och enheten är helt dödlig. Jag rapporterar detta krav nu, ungefär en vecka efter händelsen. Jag hade inte tänkt på att anmäla det tidigare eftersom jag hoppades att det skulle fixas av sig själv. Policyn är aktiv och jag har betalat alla premier i tid. Regnet var inte exceptionellt kraftigt enligt väderrapporterna den dagen, bara normalt sommarväder.",,Borderline,False,False,False,False,False,False,SYN-BOR-0004,borderline,"{'for_approval': ['Policy är verifierat aktiv och premie är betald', 'Liquid Damage är täckt under ADLD-försäkringen', 'Väderförhållandena kan verifieras via väderdata', 'Enheten är helt död, konsistent med vätskeskada', 'Claimant följde försökt självåtgärd innan rapportering'], 'against_approval': ['En vecka försenad rapportering utan tydlig förklaring till förseningen', 'Vag beskrivning av exakt exponering för vätskan', 'Claimant tillät enheten att lufttorka hemma istället för omedelbar avslutning', 'Ingen dokumentation av försöken att reparera eller professionell bedömning', ""Fokusering på 'normalt väder' kan antyda försök att undvika ansvarsfriskrivning"", 'Ingen vittne till incidenten eller dokumentation av tillstånd före/efter']}",,
Liquid Damage,ADLD,NL,SMARTPHONE,WUAWEI,WUAWEI-SYN-8,799,150,Email,Active,"Goedemiddag, ik dien een schadeclaim in voor mijn WUAWEI-SYN-8 smartphone. Het toestel is vorige week dinsdag blootgesteld aan water tijdens een ongeluk thuis. Ik was in de keuken en het telefoon viel uit mijn zak in een glas water dat op het aanrecht stond. Het apparaat werkte aanvankelijk nog, maar na ongeveer twee uur stopte het met reageren. De scherm is zwart gebleven en het toestel start niet meer op. Ik heb het onmiddellijk uit het water gehaald en het droog gemaaktmet een doek. De polis is actief sinds maart dit jaar en dit is mijn eerste claim. Helaas heb ik geen foto's kunnen maken van het incident zelf, maar het toestel is duidelijk beschadigd. Ik heb het niet geprobeerd te repareren zelf. De schade bedraagt naar schatting ongeveer 650 euro voor herstel.",,Borderline,False,False,False,False,False,False,SYN-BOR-0008,borderline,"['SUPPORTING: Policy is active and current, no previous claims history', 'SUPPORTING: Liquid damage is covered under ADLD policy', 'SUPPORTING: Plausible accident scenario (dropped into water)', 'SUPPORTING: Claimant followed correct procedure (removed from water, dried device)', 'CONCERNING: 8-day delay in claim submission without clear explanation', 'CONCERNING: No photographic evidence of damage or accident scene', ""CONCERNING: Vague timeline ('two hours' before failure is non-specific)"", 'CONCERNING: No witness corroboration mentioned', 'CONCERNING: Estimated repair cost (€650) is close to device RRP (€799) - unusually high for liquid damage', 'CONCERNING: Channel is email only - no voice communication to clarify details', 'UNCERTAIN: Device model SYN-8 liquid resistance specifications unclear']",,
Liquid Damage,ADLD,SE,SMARTPHONES,WUAWEI,WUAWEI-SYN-7,8999,450,Online Portal,Active,"Jag hävdar att min WUAWEI-SYN-7 skadades av vätskeöverflöde den 14 mars 2024. Jag var hemma och hade telefonen på köksbordet när min partner spilled ett glas vatten i närheten. Jag torkade den omedelbar med en handduk, men senare samma dag började skärmen att flimra och enheten slutade svara. Jag väntade 8 dagar innan jag rapporterade skadan till er, då jag först försökte starta om enheten flera gånger hemma. Ingen officiell reparatör inspekterades innan inlämningen. Jag har ingen kamerafilm eller vittnen till incidenten. Kvittot från inköpet är från 22 juni 2023, så försäkringen har varit aktiv i cirka 9 månader. Enheten köptes från en återförsäljare och är fortfarande under garantin. Jag vill få ersättning för reparation eller utbyte då denna var en helt normal hemlig olycka.",,Borderline,False,False,True,True,False,False,SYN-BOR-0007,borderline,"{'in_favor': ['Policy is active and covers ADLD', 'Genuine accidental liquid exposure described', 'Device was recently purchased (within 9 months)', 'Claimant attempted reasonable troubleshooting before reporting', 'Incident occurred at home in normal circumstances', 'No indication of intentional damage'], 'against': ['8-day delay in reporting is unusual for liquid damage', 'No professional inspection before claim submission', 'No photographic evidence of damage or incident', 'No witnesses mentioned or available', 'No documentation of attempted repairs', 'Vague about exact amount of water and exposure duration', 'Device still under manufacturer warranty—questionable why filing insurance claim first', 'No explanation for why initial restart attempts took 8 days to fail']}",,
Liquid Damage,ADLD,NL,LAPTOP,WUAWEI,WUAWEI-SYN-9,1850,150,Email,Active,"Policyholder reports that their WUAWEI laptop was damaged by liquid spillage on 12 March 2024 while working at a café. According to the claim, a colleague accidentally knocked over a coffee cup near the device, causing liquid to splash onto the keyboard and trackpad area. The device was immediately powered off and left to dry for approximately 48 hours before the policyholder attempted to turn it back on. The laptop now fails to power on, and the keyboard is unresponsive. Claim was submitted 18 days after the incident via email with minimal supporting documentation—only a brief written description and no photos of the damage or the accident scene. The policyholder did not obtain a written statement from the colleague or the café staff, nor did they have the device professionally inspected before filing. Device purchase receipt provided is dated 2 years prior, confirming active coverage period. No previous claims on this policy.",,Borderline,False,True,True,False,True,True,SYN-BOR-0009,borderline,"['LEGITIMATE: Policy is active and liquid damage is covered under ADLD', 'LEGITIMATE: Accidental spillage is a plausible and common accident scenario', 'LEGITIMATE: Device purchase date aligns with policy activation', 'LEGITIMATE: Immediate power-off action suggests reasonable damage mitigation', 'CONCERNING: Claim filed 18 days after incident—delayed reporting without clear explanation', 'CONCERNING: No photographic evidence of damage, accident, or device state', 'CONCERNING: No third-party corroboration (café staff, colleague statement)', 'CONCERNING: Vague description of liquid type and volume; no detail on spread pattern', 'CONCERNING: No professional inspection or repair quote provided', 'CONCERNING: No invoice/receipt from repair shop; device condition unverified', 'CONCERNING: Suspicious that device failed completely from coffee—possible pre-existing fault', 'BORDERLINE: 48-hour drying period is non-standard; professional drying typically required within hours']",,
Liquid Damage,ADLD,NL,LAPTOP,WUAWEI,WUAWEI-MatePad-Pro-X1,2800,150,Whatsapp,Active,"Klant meldt waterschadebijl laptop tijdens bedrijfsmeeting. Collega's koffiekopje viel over op werkstation, waardoor koffie over toetsenbord en scherm liep. Apparaat werd direct uitgeschakeld. Klant stuurde foto's via WhatsApp van het voorval met collega in achtergrond. Collega gaf mondelinge toestemming voor schadeclaim. Laptop wordt momenteel gedroogd op kantoor. Klant vraagt vervanging onder verzekering. Claim ingediend 4 uur na incident. Geen derde partij verzekering beschikbaar voor drank schade.",,Completed,False,False,,,False,False,SYN-EDG-0002,edge_cases,,"Multi-stakeholder liquid damage with third-party involvement, unusual claim channel (WhatsApp), high-value device, workplace incident with witness",Completed
Liquid Damage,ADLD,NL,LAPTOP,WUAWEI,WUAWEI-MateBook-Pro-16,2499,150,Whatsapp,Active,"Claimant reports that their WUAWEI MateBook Pro 16 laptop was damaged during a shared workspace incident. The device was on a communal desk when a colleague accidentally knocked over a full cup of coffee directly onto the keyboard and trackpad area. The claimant immediately powered off the device and did not attempt to turn it back on. However, the colleague (third party) has offered to reimburse the claimant for the damage privately, creating ambiguity around liability and insurance claim validity. The device shows visible liquid residue around the keyboard bezels and ports. Claimant submitted claim via WhatsApp with photos taken 2 hours after incident. Uncertainty exists regarding whether third-party reimbursement should disqualify the claim, and whether the private settlement offer constitutes a conflict with insurance coverage.",,Completed,False,False,,,False,False,SYN-EDG-0000,edge_cases,,Liquid Damage + Third Party Liability Involvement + Unusual Filing Channel (WhatsApp) + High-Value Device + Settlement Offer Complexity,Completed
Liquid Damage,ADLD,NL,LAPTOP,WUAWEI,WUAWEI-MatePad-Pro-13,32500,450,Whatsapp,Active,Försäljaren på elektronikbutiken i Amsterdam spilled per misstag sitt kaffe över min nya WUAWEI MatePad Pro 13 medan jag testade enheten innan köp. Incidenten inträffade den 15 mars 2024 klockan 14:30 på butiken. Säljaren erkände sitt misstag omedelbar och överlämnade skadeutredning från butiken. Enheten var helt funktig innan kaffe blev spill på tangentbordet och vänster sida av displayen. Efter ca 2 timmar visade skärmen vita fläckar och systemet slutade svara. Jag försökte inte slå på eller av enheten efter skadan för att undvika kortslutning. Butiken sa att detta skulle täckas under min försäkring då skadan inte var mitt eget fel. Jag har försäljningskvitto från samma dag och vittne från butikspersonalen som kan bekräfta händelsen.,,Completed,False,False,,,False,False,SYN-EDG-0001,edge_cases,,"Multi-factor edge case: High-value device (RRP 32500 EUR, exceeds typical threshold), Liquid Damage (underrepresented 2.3%), Unusual claim channel (Whatsapp), Third-party involvement (store employee liability), and high excess complexity",Completed
Liquid Damage,ADLD,NL,LAPTOP,WUAWEI,WUAWEI-MatePad-Pro-X1,2499,150,Whatsapp,Active,"Policyholder claims that during a business meeting at a café in Amsterdam, a third party (colleague) accidentally knocked over a large cappuccino directly onto the open WUAWEI MatePad Pro X1 laptop. The liquid immediately spread across the keyboard and trackpad area. Policyholder attempted immediate action by shutting down the device and wiping with napkins. Device was left to dry for 24 hours before attempting to power on. When powered on, the display flickered intermittently, keyboard became unresponsive, and there was visible corrosion around the USB-C charging port. The colleague offered to cover costs but dispute arose regarding fault responsibility. Claim filed via WhatsApp message with photo attachments showing wet keyboard area and corrosion, submitted 48 hours post-incident. No receipt of liquid damage notification or formal claim form initially provided through this channel.",,Completed,True,False,False,False,False,False,SYN-EDG-0003,edge_cases,,"Multi-factor edge case: (1) Liquid Damage claim (2.3% of real data), (2) High-value LAPTOP device (RRP €2499), (3) Third-party involvement complicating liability, (4) Claim filed via WhatsApp (unusual channel), (5) Delayed formal reporting through non-standard channel",Completed
Liquid Damage,ADLD,NL,SMARTPHONE,WUAWEI,WUAWEI-SYN-11,8500,250,Email,Active,"Goedemorgen, ik dien hierbij een schadeclaim in voor mijn WUAWEI-SYN-11 smartphone. Ongeveer twee weken geleden heb ik het apparaat per ongeluk in water laten vallen tijdens het wandelen in het park. Het toestel was in mijn broekzak en ik realiseerde me dit pas thuis. Ik heb het apparaat direct in rijst gezet voor 48 uur, maar helaas werkt het scherm niet meer en laadt de batterij niet op. De telefoon heeft geen fysieke schade aan de behuizing. Ik heb de claim nu pas ingediend omdat ik eerst heb geprobeerd het zelf te repareren via een lokale technicus, maar zij zeiden dat watersdamage niet onder garantie valt. De policy is actief sinds maart 2023 en ik ben zeker van dekking. Graag het schadebedrag in behandeling nemen.",,Borderline,False,False,True,True,True,True,SYN-BOR-0011,borderline,"['LEGITIMATE: Policy is active and liquid damage is covered under ADLD', 'LEGITIMATE: Device has no external physical damage suggesting genuine submersion', 'LEGITIMATE: Reasonable actions taken (rice drying method shows effort)', 'CONCERNING: 14-day delay between incident and claim reporting', 'CONCERNING: No photographic evidence or documentation of water damage provided', ""CONCERNING: Vague timeline - 'approximately two weeks ago' lacks specificity"", 'CONCERNING: Attempted DIY repair and third-party repair before claim reporting could void coverage', 'CONCERNING: No mention of contacting insurer immediately after incident', 'CONCERNING: Email-only submission lacks supporting documentation or receipts', 'UNCERTAIN: Unclear if device still powers on partially (only states screen and charging issues)']",,
Liquid Damage,ADLD,SE,SMARTPHONES,WUAWEI,WUAWEI-SYN-10,8500,150,Online Portal,Active,Kunden rapporterar att hennes WUAWEI-SYN-10 utsattes för vätskapåverkan den 14 mars. Hon säger att hon hade telefonen i väskan när hon satte sig på en café och hennes kaffekoppa tipade över. Hon märkte omedelbar fuktig väska och tog ut telefonen. Enheten var fuktig men startade fortfarande. Hon placerade den i rice över natten. Nästa morgon startades telefonen men skärmen visade konstiga pixlar och rösten från högtalarna lät förvrängd. Hon väntade dock inte att rapportera skadan förrän den 22 mars (8 dagar senare) då skärmen slutade fungera helt. Hon säger att hon försökte torka enheten bättre med en hårtork dagen efter incidenten men är osäker på exakt temperatur. Policyn var aktiv vid tidpunkten för incidenten. Kunden har inga foton från själva incidenten men erbjuder att skicka bilder på den fuktig väskan och enheten nu.,,Borderline,True,False,True,True,False,False,SYN-BOR-0010,borderline,"{'supporting_approval': ['Policy var aktiv vid tiden för incidenten', 'Vätskapåverkan täcks under ADLD-täckning', 'Incidenten är trolig och scenariot realistiskt', 'Progressiv skada som utvecklades över tid stöder autenticiteten', 'Kunden var framåtlutad i att försöka torka enheten'], 'supporting_denial': ['Betydande fördröjning på 8 dagar innan rapportering', 'Ingen dokumentation eller foton från själva vätskeincidenten', 'Vag beskrivning av temperatur på hårtork (potentiell intern skada från värme)', 'Kunden väntade med att rapportera tills enheten helt misslyckades', 'Möjlig olämplig torkteknik som kunde ha försämrat skadan', 'Ingen oberoende vittne till incidenten']}",,
Liquid Damage,ADLD,NL,LAPTOP,WUAWEI,WUAWEI-MateBook-Pro-16,32500,150,Whatsapp,Active,"Mijn WUAWEI MateBook Pro werd beschadigd door een koffiespill tijdens een zakenlunch op 14 maart. Mijn collega had per ongeluk zijn kopje omgekieperd over mijn geopende laptop terwijl ik een presentatie gaf. Het apparaat werd onmiddellijk uitgeschakeld. De dag erna kon ik het niet meer aanzetten. Drie dagen later hebben we het naar een WUAWEI servicecenter gebracht in Amsterdam. De technicus zei dat er aanzienlijke vochtschade in de moederbord en batterij zat. Het apparaat is volledig buiten werking. De servicecenter stuurde een offerte van €8.400 voor reparatie. De laptop was slechts 8 maanden oud en werd dagelijks voor werk gebruikt. Mijn verzekering dekt accidentele schade, dus ik verwacht dekking. Dit was duidelijk een ongeluk zonder schuld van mijzelf.",,Completed,False,False,,,False,False,SYN-EDG-0005,edge_cases,,"Multi-factor edge case: Liquid damage (underrepresented), high-value device (RRP > €30k), rare device type (laptop), filed via WhatsApp (unusual channel), involves third party (colleague's fault), and requires assessment of coverage applicability",Completed
Liquid Damage,ADLD,NL,LAPTOP,WUAWEI,WUAWEI-MatePad-Pro-13,32500,450,Whatsapp,Active,"Claim filed via WhatsApp on 14 november. Försäkringstagaren rapporterar att hans WUAWEI MatePad Pro 13-tum blev vätskeSkadad när hans 4-åriga son spillde en hel kopp juice på enheten under familjefilm. Enheten var från början ett arbetsverktyg värt 32.500 kronor. Efter händelsen startade enheten inte, och försäkringstagaren tog den till en WUAWEI-auktoriserad serviceverkstad. Verkstaden bekräftade omfattande vätskeSkada på moderkortet och skärmenheten. Försäkringstagaren hävdar att detta var en olyckshändelse hemma, men vätskeSkada från barnars handlingar kan klassificeras som bristande tillsyn. Claim-formuläret är ofullständigt, och ingen originalkvitto presenterades. Skadereduceringen på grund av höga RRP och otydliga omständigheter kring ansvaret utgör en utmaning för modelltolkningen.",,Declined,False,False,,,False,False,SYN-EDG-0004,edge_cases,,"Multi-factor edge case: High-value LAPTOP device (RRP > 30000), Liquid Damage (underrepresented claim type), filed via WhatsApp (unusual channel), involving third party (child), potential negligence argument, incomplete documentation",Declined
Liquid Damage,ADLD,NL,LAPTOP,WUAWEI,WUAWEI-MateBook-Pro-16,2499,150,Whatsapp,Active,"Claimant reports that their WUAWEI MateBook Pro 16 laptop was damaged when their 8-year-old child knocked over a full glass of apple juice during a video call. The liquid spilled directly onto the keyboard and trackpad area. The device was immediately powered off. Claimant waited 48 hours before attempting to turn it back on, following online advice. Upon restart, the device powered on but the trackpad is completely unresponsive, keyboard shows intermittent key failures (particularly on the left side), and there is visible corrosion around the USB-C charging port. The internal fan also emits a grinding noise. Claimant filed claim via WhatsApp with photos showing liquid residue marks and the non-functional keyboard. The laptop is still under the original 2-year manufacturer warranty but liquid damage is typically excluded from standard warranty coverage. Claimant states the device is critical for their home office work and requests expedited assessment.",,Completed,True,,True,,True,False,SYN-EDG-0006,edge_cases,,"Multi-factor edge case: (1) Rare liquid damage claim (2.3% baseline), (2) High-value LAPTOP device (€2,499 RRP), (3) Claim filed via WhatsApp (unusual channel), (4) Third-party involvement (child caused damage), (5) Delayed claim filing (48-hour gap), (6) Partial functionality complicating assessment",Completed
Liquid Damage,ADLD,NL,LAPTOP,WUAWEI,WUAWEI-MateBook-Pro-16,32500,150,Whatsapp,Active,"Verzekerde bracht zijn WUAWEI MateBook Pro 16 mee naar een bedrijfsbijeenkomst in Amsterdam. Tijdens een presentatie aan derden (belangrijk potentieel cliënten) werd de laptop omgestoten door een derde partij die zich haastte en een glas water over het apparaat morste. De derde partij bood aanvankelijk aan de schade te betalen, maar blijkt geen geldige verzekering te hebben. Het apparaat werd onmiddellijk uitgeschakeld, maar het display en het toetsenbord zijn ernstig beschadigd. De verzekerde diende de claim in via WhatsApp met foto's van het incident en contactgegevens van getuigen. Dit is een complex geval vanwege: (1) betrokkenheid van derde partij, (2) hoge apparaatwaarde boven 30.000 euro, (3) ongewone indiening via WhatsApp, (4) zakenomgeving waardoor verzekerbaarheid van professioneel gebruik moet worden geverifieerd.",,Declined,False,False,,,False,False,SYN-EDG-0008,edge_cases,,Multi-dimensional edge case: High-value device (€32.5k RRP) + Third-party involvement + Liquid damage + Unusual claim channel (WhatsApp) + Professional/business context,Declined
Liquid Damage,ADLD,NL,LAPTOP,WUAWEI,WUAWEI-MatePad-Pro-X1,2499,150,Whatsapp,Active,"Försäkringstagaren körde sitt WUAWEI MatePad Pro X1 laptop från Amsterdam till Stockholm. Vid en rastplats i Tyskland häll en tredje part (en okänd person på en bensinstationen) av misstag kaffe på laptopen när försäkringstagaren inte var närvarande. Datorn lämnades påslad. Omkring 200ml varmt kaffe trängde in genom tangentbordet och skärmkanten. Försäkringstagaren upptäckte skadan 45 minuter senare. Han fotograferade skadan och skrev till försäkringsbolaget via WhatsApp med bilder och en kort beskrivning på blandad svenska och engelska. Datorn startade inte igen. En lokal tekniker i Berlin diagnosticerade omfattande vätskeskador på moderkort och CPU. Tredje parts identitet är okänd, bara en namn från en vitne erhölls. Krav om ersättning från försäkringsbolaget lämnades in samma dag via WhatsApp-kanalen.",,Completed,False,False,True,True,False,False,SYN-EDG-0007,edge_cases,,"Multi-factor edge case: (1) Liquid Damage claim - underrepresented category, (2) High-value LAPTOP device, (3) Unusual claim channel (WhatsApp), (4) Third-party involvement with unidentified party, (5) Cross-border incident (Germany), (6) Device left powered on during incident",Completed
Liquid Damage,ADLD,NL,LAPTOP,WUAWEI,WUAWEI-MateBook-Pro-16,32500,150,Whatsapp,Active,"Claimant reports that their WUAWEI MateBook Pro 16 laptop was damaged when a third party (their teenage child) accidentally spilled an entire cup of coffee during a video conference call. The incident occurred while the claimant was actively using the device for a business meeting. The liquid reportedly seeped into the keyboard and trackpad area, causing immediate loss of keyboard functionality and partial trackpad responsiveness. The claimant attempted basic drying procedures for approximately 2 hours before powering down the device. No professional drying service was sought before claim submission. The device was purchased 18 months ago and is still under active policy. Claim was filed via WhatsApp with photos showing water staining on the keyboard. The high-value nature of the device combined with the premium coverage level makes this claim significant. However, the involvement of a third party (family member) and the delayed device shutdown raise questions about proper claim procedures and contributory negligence. The liquid damage is clearly visible but the extent of internal damage cannot be assessed without proper diagnostics.",,Completed,False,,,,False,False,SYN-EDG-0009,edge_cases,,"Multi-factor edge case: High-value LAPTOP (RRP >30000), Liquid Damage (rare category <2.5% of claims), third-party involvement (family member), filed via WhatsApp (unusual channel), and delayed response to incident",Completed
Liquid Damage,ADLD,NL,LAPTOP,WUAWEI,WUAWEI-MateBook-Pro-16,34999,150,Whatsapp,Active,"Tijdens een bedrijfsmeeting in een café werd mijn WUAWEI MateBook Pro 16 geraakt door een koffiekopje dat door een kellner werd omgegooid. Het apparaat kwam in direct contact met warme koffie over het toetsenbord en touchpad. De derde partij (het café) weigert verantwoordelijkheid te nemen, stellende dat het mijn schuld was omdat ik de laptop te dicht bij de tafelrand had geplaatst. Ik heb het apparaat onmiddellijk uitgeschakeld, maar het zal niet meer opstarten. De schermpagina's tonen volledig zwart. Het café heeft CCTV-beelden, maar wil deze niet delen. Ik heb foto's gemaakt van de koffievlekken en het apparaat. Mijn polis dekt accidentele schade, maar deze situatie is ingewikkelder door de derde partij betrokkenheid.",,Completed,False,False,False,False,False,False,SYN-EDG-0011,edge_cases,,"Multi-factor edge case: (1) Liquid Damage claim (underrepresented at 2.3%), (2) High-value device >30000 EUR, (3) Third-party involvement with liability dispute, (4) Filed via WhatsApp (unusual channel), (5) Rare device type (Laptop), (6) Potential subrogation complexity",Completed
Liquid Damage,ADLD,NL,LAPTOP,WUAWEI,WUAWEI-MatePad-Pro-X1,32500,850,Whatsapp,Active,"Policyholder claims their WUAWEI MatePad Pro X1 laptop (high-end workstation model worth €32,500) suffered liquid damage when their colleague accidentally spilled an entire cup of coffee during a business meeting at a shared office space in Amsterdam. The incident occurred on 14th March at approximately 14:45. The device was immediately powered off and placed in rice for 48 hours. Claimant states the colleague offered to cover costs but later refused to provide written confirmation or insurance details. The laptop was sent to an unauthorized third-party repair shop in Utrecht before contacting the insurer, where technicians identified corrosion on the motherboard and keyboard membrane. Claim filed via WhatsApp with blurry photos of the damage. No incident report filed with office management. Claimant requests full replacement value despite attempting unauthorized repairs and lack of third-party liability documentation.",,Declined,False,,,,False,False,SYN-EDG-0012,edge_cases,,"Multi-factor edge case: (1) Rare liquid damage + high-value LAPTOP device combination, (2) Third-party involvement with disputed liability, (3) Claim filed through informal WhatsApp channel, (4) Unauthorized pre-claim repair attempts, (5) Device value exceeds €30,000 threshold, (6) Commercial/workplace incident rather than personal use",Declined
Liquid Damage,ADLD,NL,LAPTOP,WUAWEI,WUAWEI-MatePad-Pro-13,32500,150,Whatsapp,Active,"Försäkringstagaren hällde accidentellt kaffe över sin WUAWEI MatePad Pro 13-tum vid ett möte på sitt kontor den 3 oktober. Enheten var på när vätskan spilldes. Omedelbar avstängning utfördes. Två dagar senare, då användaren försökte slå på enheten igen, startade den men displayen visade horizontala linjer och pekskärmen var endast delvis responsiv. Efter ytterligare två dagar började enheten stänga av slumpmässigt. Användaren kontaktade en lokal elektronikreparatör som diagnostiserade omfattande korrosion på moderkortet och på batteri-anslutningen. Reparatören vägrade att reparera enheten på grund av omfattningen av skadorna och rekommenderade ersättning. Användaren skickade två bilder via WhatsApp som visar fuktmarks indikatorer och korrosionsspår på de interna komponenterna. Försäkringstagaren hade inte tillgång till sin vanliga e-postadress vid tiden för anmälan.",,Completed,True,False,,,False,False,SYN-EDG-0010,edge_cases,,"Multi-factor edge case: High-value LAPTOP device (>30k), rare Liquid Damage claim, filed via WhatsApp with internal component photos, delayed symptom manifestation (3 days), involves third-party repair assessment",Completed
Accidental Damage,ADLD,NL,SMARTPHONES,WUAWEI,WUAWEI-SYN-6,8900,150,Online Portal,Active,"I dropped my phone from about waist height onto a wooden floor at home. When I picked it up, the screen had some small cracks in the corner but the phone still worked. Over the next few weeks, I noticed the cracks were spreading slowly across the display. Now the screen is almost completely shattered and I can barely see anything. The phone still turns on but the display is basically unusable. I'm claiming for accidental damage from the drop. The phone has been working fine up until this incident, no previous issues.","Gradual wear and tear masked as acute damage. The claimant's own description reveals progressive cracking over weeks, which is characteristic of stress fractures developing from existing micro-damage or manufacturing defect rather than sudden impact damage. The timeline inconsistency (small cracks spreading gradually) contradicts the claimed single drop incident. Manufacturing defect should be covered under warranty, not accidental damage insurance.",Declined,True,False,True,True,True,True,SYN-DEC-0006,declined,,,
